fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations
Harvard500.txt,500,2636,0.850000,59,faible,494,500,0.000300000000000,complet,0.001655662729170,0.001355662729170,5.518876,99
Harvard500.txt,500,2636,0.850000,59,faible,494,500,0.000300000000000,anneau,0.001788856682923,0.001488856682923,5.962856,101
Harvard500.txt,500,2636,0.850000,60,forte,7,1,0.103639770584333,isoles,0.117528152614209,0.013888382029876,1.134006,93
Harvard500.txt,500,2636,0.850000,60,forte,7,1,0.103639770584333,complet,0.095072833622668,-0.008566936961664,0.917339,100
Harvard500.txt,500,2636,0.850000,60,forte,7,1,0.103639770584333,anneau,0.089150269225301,-0.014489501359032,0.860194,111
Harvard500.txt,500,2636,0.850000,60,moyenne,14,251,0.000646080989108,isoles,0.014267918747559,0.013621837758451,22.083793,93
Harvard500.txt,500,2636,0.850000,60,moyenne,14,251,0.000646080989108,complet,0.001966813431748,0.001320732442640,3.044221,100
Harvard500.txt,500,2636,0.850000,60,moyenne,14,251,0.000646080989108,anneau,0.002096480680861,0.001450399691753,3.244919,102
Harvard500.txt,500,2636,0.850000,60,faible,494,500,0.000300000000000,isoles,0.013928571428571,0.013628571428571,46.428571,93
Harvard500.txt,500,2636,0.850000,60,faible,494,500,0.000300000000000,complet,0.001654731692183,0.001354731692183,5.515772,100
Harvard500.txt,500,2636,0.850000,60,faible,494,500,0.000300000000000,anneau,0.001785670094448,0.001485670094448,5.952234,101
Harvard500.txt,500,2636,0.850000,61,forte,7,1,0.103639770584333,isoles,0.117734456565944,0.014094685981611,1.135997,93
Harvard500.txt,500,2636,0.850000,61,forte,7,1,0.103639770584333,complet,0.094906951465815,-0.008732819118518,0.915739,100
Harvard500.txt,500,2636,0.850000,61,forte,7,1,0.103639770584333,anneau,0.088991284520393,-0.014648486063940,0.858660,111
Harvard500.txt,500,2636,0.850000,61,moyenne,14,251,0.000646080989108,isoles,0.014470263336960,0.013824182347852,22.396981,93
Harvard500.txt,500,2636,0.850000,61,moyenne,14,251,0.000646080989108,complet,0.001965273118983,0.001319192129876,3.041837,100
Harvard500.txt,500,2636,0.850000,61,moyenne,14,251,0.000646080989108,anneau,0.002092751705249,0.001446670716141,3.239148,102
Harvard500.txt,500,2636,0.850000,61,faible,494,500,0.000300000000000,isoles,0.014131016042781,0.013831016042781,47.103387,93
Harvard500.txt,500,2636,0.850000,61,faible,494,500,0.000300000000000,complet,0.001653743318088,0.001353743318088,5.512478,100
Harvard500.txt,500,2636,0.850000,61,faible,494,500,0.000300000000000,anneau,0.001782493698676,0.001482493698676,5.941646,101
Harvard500.txt,500,2636,0.850000,62,forte,7,1,0.103639770584333,isoles,0.117940026339915,0.014300255755582,1.137980,93
Harvard500.txt,500,2636,0.850000,62,forte,7,1,0.103639770584333,complet,0.094741553772370,-0.008898216811962,0.914143,100
Harvard500.txt,500,2636,0.850000,62,forte,7,1,0.103639770584333,anneau,0.088832876313568,-0.014806894270765,0.857131,111
Harvard500.txt,500,2636,0.850000,62,moyenne,14,251,0.000646080989108,isoles,0.014671887838854,0.014025806849746,22.709054,93
Harvard500.txt,500,2636,0.850000,62,moyenne,14,251,0.000646080989108,complet,0.001963680294772,0.001317599305665,3.039372,100
